project_id,capability,present,source
dasmatrix,io,True,curated
dasmatrix,processing,True,curated
dasmatrix,visualization,True,curated
daspack,compression,True,curated
daspack,io,True,curated
daspack,streaming,True,curated
daspy,io,True,curated
daspy,processing,True,curated
daspy,seismology,True,curated
daspy,visualization,True,curated
dasstore,data-management,True,curated
dasstore,io,True,curated
dasstore,object-storage,True,curated
dastools,conversion,True,curated
dastools,data-management,True,curated
dastools,io,True,curated
dastools,metadata,True,curated
dasvader,io,True,curated
dasvader,processing,True,curated
dasvader,visualization,True,curated
dasvader-ds,detection,True,curated
dasvader-ds,io,True,curated
dasvader-ds,phase-picking,True,curated
dasvader-ds,processing,True,curated
dasvader-ds,visualization,True,curated
dasview,desktop-application,True,curated
dasview,processing,True,curated
dasview,visualization,True,curated
derzug,annotation,True,curated
derzug,desktop-application,True,curated
derzug,processing,True,curated
derzug,visualization,True,curated
distpy,parallel-computing,True,curated
distpy,pipelines,True,curated
distpy,processing,True,curated
distpy,visualization,True,curated
dss-analyzer,io,True,curated
dss-analyzer,processing,True,curated
dss-analyzer,strain-sensing,True,curated
dts-r,data-management,True,curated
dts-r,io,True,curated
dts-r,temperature-sensing,True,curated
dtscalibration,calibration,True,curated
dtscalibration,io,True,curated
dtscalibration,processing,True,curated
dtscalibration,temperature-sensing,True,curated
eqnet,detection,True,curated
eqnet,machine-learning,True,curated
eqnet,phase-picking,True,curated
eqnet,seismology,True,curated
eth-das-readers,data-management,True,curated
eth-das-readers,io,True,curated
farmdas,pipelines,True,curated
farmdas,processing,True,curated
farmdas,seismology,True,curated
febustools,conversion,True,curated
febustools,io,True,curated
fiber-strain-modeling,modeling,True,curated
fiber-strain-modeling,processing,True,curated
fiber-strain-modeling,visualization,True,curated
fiberis,data-management,True,curated
fiberis,data-model,True,curated
fiberis,io,True,curated
fiberis,modeling,True,curated
fiberis,processing,True,curated
fiberoptics-das-schemas,data-model,True,curated
fiberoptics-das-schemas,interoperability,True,curated
fiberoptics-das-schemas,metadata,True,curated
fiberwatch-cli,detection,True,curated
fiberwatch-cli,machine-learning,True,curated
fiberwatch-cli,processing,True,curated
filark,annotation,True,curated
filark,processing,True,curated
filark,streaming,True,curated
filark,visualization,True,curated
generic-cable,inversion,True,curated
generic-cable,modeling,True,curated
gridded-slant-stack,processing,True,curated
gridded-slant-stack,surface-waves,True,curated
gridded-slant-stack,visualization,True,curated
idas-convert,conversion,True,curated
idas-convert,data-management,True,curated
idas-convert,io,True,curated
intro-to-das,education,True,curated
intro-to-das,io,True,curated
intro-to-das,visualization,True,curated
invisensing,conversion,True,curated
invisensing,data-management,True,curated
invisensing,io,True,curated
jdas,denoising,True,curated
jdas,machine-learning,True,curated
jdas,processing,True,curated
lightguide,denoising,True,curated
lightguide,io,True,curated
lightguide,modeling,True,curated
lightguide,processing,True,curated
lightguide,visualization,True,curated
mldas,detection,True,curated
mldas,machine-learning,True,curated
mldas,processing,True,curated
mldas-upstream,detection,True,curated
mldas-upstream,machine-learning,True,curated
multi-res-viewer,processing,True,curated
multi-res-viewer,visualization,True,curated
opendas-stream,parallel-computing,True,curated
opendas-stream,processing,True,curated
opendas-stream,streaming,True,curated
optixutils,data-management,True,curated
optixutils,io,True,curated
optixutils,visualization,True,curated
optodas-processor,io,True,curated
optodas-processor,pipelines,True,curated
optodas-processor,processing,True,curated
pyfocs,calibration,True,curated
pyfocs,io,True,curated
pyfocs,processing,True,curated
pyfocs,temperature-sensing,True,curated
pyrocko,io,True,curated
pyrocko,seismology,True,curated
pyrocko,visualization,True,curated
pyseafom,benchmarking,True,curated
pyseafom,interrogator-evaluation,True,curated
pyseafom,visualization,True,curated
pyseistr,denoising,True,curated
pyseistr,processing,True,curated
remi-das,processing,True,curated
remi-das,surface-waves,True,curated
remi-das,visualization,True,curated
rnn-das,detection,True,curated
rnn-das,machine-learning,True,curated
rnn-das,phase-picking,True,curated
rnn-das,seismology,True,curated
seisbench,machine-learning,True,curated
seisbench,phase-picking,True,curated
seisbench,seismology,True,curated
sigrecover,denoising,True,curated
sigrecover,processing,True,curated
sigrecover,visualization,True,curated
silixa-dts-tools,data-management,True,curated
silixa-dts-tools,io,True,curated
silixa-dts-tools,temperature-sensing,True,curated
simpledas,data-management,True,curated
simpledas,io,True,curated
simpledas-fork,data-management,True,curated
simpledas-fork,io,True,curated
spool-processing,data-management,True,curated
spool-processing,pipelines,True,curated
spool-processing,processing,True,curated
swfscdas,io,True,curated
swfscdas,processing,True,curated
swpvpsekminv,inversion,True,curated
swpvpsekminv,surface-waves,True,curated
treble-sdk,data-management,True,curated
treble-sdk,io,True,curated
treble-sdk,streaming,True,curated
unidas,data-model,True,curated
unidas,interoperability,True,curated
xdas,data-management,True,curated
xdas,data-model,True,curated
xdas,io,True,curated
xdas,processing,True,curated
xdas,streaming,True,curated
xdas,visualization,True,curated
xpick,annotation,True,curated
xpick,phase-picking,True,curated
xpick,visualization,True,curated
