id,name,repository,repository_url,forge_kind,forge_host,owner,homepage,description,status,decision_reason,primary_category,capabilities,das_focus,license_spdx,license_class,pypi,conda,julia,canonical_doi,reviewed_at,mirror_result,mirror_error,git_ref,commits,merges,first_commit_at,last_commit_at,authors,insertions,deletions,lines_total,lines_by_language,primary_language,stars,forks,contributors,contributors_basis,releases,created_at,pushed_at,forge_last_commit_at,latest_release_at,archived,visibility,language,has_docs,has_tests,has_ci,license_detected,pypi_downloads_30d,pypi_downloads_180d,conda_downloads_total,dependencies,practices,citations_total,canonical_citations,mirror_missing,git_missing,forge_missing,registry_missing,publications_missing,practices_missing,mirror_scanned_at,git_scanned_at,forge_scanned_at,registry_scanned_at,publications_scanned_at,practices_scanned_at
das-datakit,das-datakit,genrobot-ai/das-datakit,https://github.com/genrobot-ai/das-datakit,github,github.com,genrobot-ai,,Recording and format conversion for an embodied-AI Data Acquisition System.,excluded,"Acronym collision. ""DAS"" here is a robotics Data Acquisition System with no connection to distributed acoustic sensing.",out-of-scope,conversion;io,not-das,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,42,12,2025-11-18T22:09:17+08:00,2026-07-06T18:05:17+08:00,9,10715,823,7553,Python=7518;Shell=35,Python,,,,,,,,,,,,,,,,,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:57+00:00,,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-dvv,das-dvv,yjianggeo/das-dvv,https://github.com/yjianggeo/das-dvv,github,github.com,yjianggeo,,Seismic velocity change (dv/v) estimation from DAS ambient-noise cross-correlation.,included,"Reusable MIT-licensed package with GitHub Actions CI, tests, documentation, and examples, implementing stretching, MWCS, and WCS estimators.",processing,processing;seismology,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,master,22,1,2026-06-13T19:50:01+08:00,2026-06-13T21:08:29+08:00,1,4801,68,1487,Jupyter=11;Python=1476,Python,3,0,1,"linked accounts, bots removed",0,2026-06-13T12:28:51Z,2026-06-13T13:08:33Z,2026-06-13T13:08:29Z,,False,public,Python,True,True,True,MIT,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=True;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:57+00:00,2026-08-28T12:54:59+00:00,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-events,das-events,yjianggeo/das-events,https://github.com/yjianggeo/das-events,github,github.com,yjianggeo,,Event detection and staging for per-minute DAS HDF5 files.,included,"Reusable MIT-licensed package with tests, documentation, and examples, implementing STA/LTA detection with channel coincidence and a staging manifest.",machine-learning-detection,detection;io;processing;quality-control,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,master,24,1,2026-06-18T20:44:21+08:00,2026-07-09T13:51:20+08:00,1,4833,136,2004,Python=2004,Python,0,0,1,"linked accounts, bots removed",0,2026-06-18T15:31:38Z,2026-07-09T05:53:42Z,2026-07-09T05:51:20Z,,False,public,Python,True,True,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:57+00:00,2026-08-28T12:55:01+00:00,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-flink,DAS-Flink,CcCalana/DAS-flink,https://github.com/CcCalana/DAS-flink,github,github.com,CcCalana,,Apache Flink stream-processing framework for real-time DAS event detection.,included,"Reusable MIT-licensed Java framework with a Maven build, documentation, and benchmarks; the only JVM streaming entry in the catalogue.",core-framework,detection;parallel-computing;processing;streaming,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,10,0,2025-07-31T11:18:37+08:00,2025-09-09T15:35:47+08:00,1,31581,16518,11964,Java=10637;Python=1021;Shell=306,Java,3,0,1,"linked accounts, bots removed",0,2025-07-31T03:26:47Z,2025-09-09T07:37:19Z,2025-09-09T07:35:47Z,,False,public,Java,True,False,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=False;docs=True;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:57+00:00,2026-08-28T12:55:02+00:00,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-grad,DAS-GRAD,Benz-Poobua/das_grad,https://github.com/Benz-Poobua/das_grad,github,github.com,Benz-Poobua,,Interferometric frequency-domain gradiometry for DAS virtual source gathers.,included,"Reusable MIT-licensed package with tests, documented as the downstream companion to das_ani; young at six commits, which is the one reservation on record.",processing,inversion;processing;surface-waves,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,6,0,2026-06-28T18:54:29-07:00,2026-06-30T03:48:21-07:00,1,1000856,680642,5722,Jupyter=947;Python=4715;Shell=60,Python,0,0,1,"linked accounts, bots removed",0,2026-06-29T01:54:28Z,2026-06-30T10:48:27Z,2026-06-30T10:48:21Z,,False,public,Jupyter Notebook,False,True,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=True;typed=True,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:04+00:00,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-levels,DAS_levels,DAS4Whales/DAS_levels,https://github.com/DAS4Whales/DAS_levels,github,github.com,DAS4Whales,,Conversion of DAS-measured strain into acoustic pressure levels.,included,"Reusable DAS conversion code published with no license file, which grants no reuse rights.",processing,bioacoustics;processing,das-native,,unlicensed,,,,,2026-08-28,unchanged,,main,17,0,2025-03-04T10:59:20-05:00,2025-03-11T17:06:07-04:00,1,188120,187161,840,Python=840,Python,3,0,1,"linked accounts, bots removed",1,2025-03-04T16:04:50Z,2025-03-11T21:06:07Z,2025-03-11T21:06:07Z,2025-03-11T21:02:45Z,False,public,Python,False,False,False,,,,,,readme=True;license_file=False;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:06+00:00,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-metadata,DAS metadata tools,DAS-RCN/DAS_metadata,https://github.com/DAS-RCN/DAS_metadata,github,github.com,DAS-RCN,,Community tools and examples for standardizing DAS metadata.,included,"Reusable DAS metadata tooling. The detected CC BY license is a content license that does not clearly establish reuse terms for the code, so the class is unknown rather than open.",interoperability,interoperability;metadata,das-native,CC-BY-4.0,unknown,,,,10.1785/0220230325,2026-08-28,unchanged,,main,215,2,2022-08-24T09:47:50+10:00,2025-02-24T11:14:29+11:00,1,5850,2618,,,,32,4,1,"linked accounts, bots removed",0,2022-08-23T23:47:50Z,2025-02-24T00:14:30Z,2025-02-24T00:14:29Z,,False,public,,False,False,True,CC-BY-4.0,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=True;coverage=False;docs=False;examples=True;changelog=False;contributing=True;lint=False;typed=False,13,13,,lines=not_published,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:08+00:00,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-n2n,DAS-N2N-torch,sachalapins/DAS-N2N-torch,https://github.com/sachalapins/DAS-N2N-torch,github,github.com,sachalapins,,PyTorch implementation of coherence-based Noise2Noise denoising for DAS data.,included,"Reusable DAS denoising package with GPL-3.0 licensing, packaging metadata, and distributed model weights.",machine-learning-detection,denoising;machine-learning;processing,das-native,GPL-3.0-only,osi-approved,,,,,2026-08-28,unchanged,,main,32,0,2025-01-20T16:23:35+00:00,2026-03-27T10:57:26+00:00,1,2811,1365,444,Jupyter=108;Python=336,Python,17,1,1,"linked accounts, bots removed",0,2025-01-20T16:23:34Z,2026-03-27T10:57:27Z,2026-03-27T10:57:26Z,,False,public,Python,False,False,False,GPL-3.0,,,,,readme=True;license_file=True;packaging=True;tests=False;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:10+00:00,2026-08-28T15:03:52+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-nidf,DAS_NIDF,MSL01/DAS-PROCESSING-AND-VISUALIZATION,https://github.com/MSL01/DAS-PROCESSING-AND-VISUALIZATION,github,github.com,MSL01,,Holoviews and Datashader visualization library for large DAS datasets.,included,"Released on PyPI as das-nidf with a setup.py and a built distribution. The README adds a restricted-use notice and no licence file is published, so no reuse rights are granted.",visualization-annotation,processing;visualization,das-native,,unlicensed,das-nidf,,,,2026-08-28,unchanged,,main,8,0,2026-04-13T16:06:14-03:00,2026-04-29T16:27:05-03:00,1,3982,347,2706,Python=2706,Python,0,0,1,"linked accounts, bots removed",0,2026-04-13T19:06:13Z,2026-04-29T19:27:09Z,2026-04-29T19:27:05Z,,False,public,HTML,False,False,False,,19,1125,,bokeh;colorcet;datashader;flask;flask-cors;h5py;holoviews;itsdangerous;matplotlib;numpy;scikit-image;scipy,readme=True;license_file=False;packaging=True;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,conda_downloads_total=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:12+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-processing-pipeline,DAS Processing Pipeline,ralin3233/das-processing-pipeline,https://github.com/ralin3233/das-processing-pipeline,github,github.com,ralin3233,,"DASCore-based CLI for chunking, preprocessing, and coordinate alignment of DAS data.",included,"Reusable MIT-licensed tool with a src layout and tests, documenting a CLI for chunked preprocessing, fibre coordinate alignment, STA/LTA triggering, and waterfall, F-K, and spectrogram plotting.",processing,conversion;detection;io;pipelines;processing;visualization,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,39,1,2026-07-13T16:30:07+08:00,2026-08-26T14:37:53+08:00,2,12307,2523,9127,Python=9127,Python,2,1,1,"linked accounts, bots removed",0,2026-07-02T00:36:29Z,2026-08-26T06:39:15Z,2026-08-26T06:37:53Z,,False,public,Python,False,True,False,MIT,,,,,readme=True;license_file=True;packaging=True;tests=True;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:15+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-realtime,DAS-realtime,Caltech-DASHub/DAS-realtime,https://github.com/Caltech-DASHub/DAS-realtime,github,github.com,Caltech-DASHub,,Real-time DAS processing components for operational earthquake monitoring.,included,Reusable DAS-specific framework with GPL-3.0 licensing and an operational interface.,machine-learning-detection,machine-learning;phase-picking;seismology;streaming,das-native,GPL-3.0-only,osi-approved,,,,,2026-08-28,unchanged,,main,13,0,2024-07-11T13:09:10-07:00,2026-01-06T08:49:34-08:00,1,2861,573,1230,Python=1230,Python,9,3,1,"linked accounts, bots removed",0,2024-07-11T20:09:10Z,2026-04-06T23:44:42Z,2026-01-06T16:49:34Z,,False,public,Python,False,False,False,GPL-3.0,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=False;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:17+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
das-sensitivity,DAS_sensitivity,olfontai/DAS_sensitivity,https://github.com/olfontai/DAS_sensitivity,github,github.com,olfontai,,Ray-based assessment of DAS directional sensitivity to seismic waves.,included,Reusable DAS-specific modeling package with an MIT license and importable source modules.,modeling,modeling;processing;visualization,das-native,MIT,osi-approved,,,,,2026-08-28,unchanged,,main,30,0,2025-10-31T15:41:07+01:00,2026-04-30T22:12:36+02:00,2,27949,18579,2023,Jupyter=956;Python=1067,Python,3,0,1,"linked accounts, bots removed",0,2025-10-31T14:41:07Z,2026-04-30T20:13:15Z,2026-04-30T20:12:36Z,,False,public,Jupyter Notebook,False,False,False,MIT,,,,,readme=True;license_file=True;packaging=False;tests=False;ci=False;coverage=False;docs=False;examples=True;changelog=False;contributing=False;lint=False;typed=False,,,,,,pypi_downloads_30d=not_applicable;pypi_downloads_180d=not_applicable;conda_downloads_total=not_applicable;dependencies=not_applicable,publications=not_applicable;canonical_citations=not_applicable,,2026-08-28T14:52:55+00:00,2026-08-28T15:03:59+00:00,2026-08-28T12:55:19+00:00,2026-08-28T15:04:00+00:00,2026-08-28T15:03:54+00:00,2026-08-28T19:47:27+00:00
